ПАО БАНК;;;;;;;;;;;;;;;;;;БИК;;;123525225;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Сч. №;;;1234501810400000000225;;;;;;;;;;;
Банк получателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ИНН;;12345633006;;;;;;;КПП;;12345678633;;;;;;;Сч. №;;;123456810400000000345;;;;;;;;;;;
"ООО ""СИСТЕМС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Получатель;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Счет №23                  от 12.09.2020 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Поставщик:;;;;;;"ООО ""СИСТЕМС""";;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Покупатель:;;;;;;"ООО ""СТР"" ";;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;;Наименование работ, услуг;;;;;;;;;;;;;;;;;;;;;Кол-во;;;Ед;;Цена;;;;Сумма
1;; консультация;;;;;;;;;;;;;;;;;;;;;1;;;шт.;;5 000,00;;;;5 000,00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;Итого:;;;;4 166,67
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;В том числе НДС:;833,33
;;;;;;;;;;;;;;;;;;;;;;;;;Всего к оплате:;;;;;;;5 000,00
Всего наименований наименований 1, на сумму 5 000,00 руб.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Пять тысяч рублей 00 копеек.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Основание: договор №09-3 от 02.09.2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Руководитель;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;подпись;;;;;;;;;;;расшифровка подписи;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Бухгалтер;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;подпись;;;;;;;;;;;расшифровка подписи;;;;;;;;;;;;;;;
